'Elapsed time','ECG ECG'
'seconds','mV'
0.000,-0.020
0.002,-0.023
0.004,-0.028
0.006,-0.035
0.008,-0.044
0.010,-0.052
0.012,-0.057
0.014,-0.058
0.016,-0.053
0.018,-0.043
0.020,-0.026
0.022,-0.005
0.024,0.019
0.026,0.043
0.028,0.064
0.030,0.080
0.032,0.090
0.034,0.097
0.036,0.102
0.038,0.111
0.040,0.129
0.042,0.157
0.044,0.196
0.046,0.238
0.048,0.275
0.050,0.298
0.052,0.300
0.054,0.280
0.056,0.242
0.058,0.190
0.060,0.132
0.062,0.073
0.064,0.018
0.066,-0.029
0.068,-0.066
0.070,-0.090
0.072,-0.100
0.074,-0.096
0.076,-0.082
0.078,-0.063
0.080,-0.045
0.082,-0.032
0.084,-0.026
0.086,-0.024
0.088,-0.025
0.090,-0.027
0.092,-0.028
0.094,-0.028
0.096,-0.027
0.098,-0.025
0.100,-0.024
0.102,-0.023
0.104,-0.022
0.106,-0.020
0.108,-0.017
0.110,-0.014
0.112,-0.010
0.114,-0.007
0.116,-0.007
0.118,-0.009
0.120,-0.013
0.122,-0.020
0.124,-0.026
0.126,-0.031
0.128,-0.033
0.130,-0.032
0.132,-0.027
0.134,-0.019
0.136,-0.010
0.138,-0.002
0.140,0.003
0.142,0.005
0.144,0.005
0.146,0.003
0.148,0.001
0.150,0.001
0.152,0.002
0.154,0.004
0.156,0.007
0.158,0.010
0.160,0.014
0.162,0.017
0.164,0.019
0.166,0.019
0.168,0.016
0.170,0.012
0.172,0.007
0.174,0.003
0.176,-0.000
0.178,-0.002
0.180,-0.002
0.182,-0.001
0.184,-0.000
0.186,0.002
0.188,0.005
0.190,0.009
0.192,0.015
0.194,0.021
0.196,0.027
0.198,0.032
0.200,0.036
0.202,0.039
0.204,0.041
0.206,0.043
0.208,0.043
0.210,0.041
0.212,0.039
0.214,0.036
0.216,0.034
0.218,0.033
0.220,0.034
0.222,0.038
0.224,0.043
0.226,0.050
0.228,0.056
0.230,0.062
0.232,0.067
0.234,0.072
0.236,0.075
0.238,0.079
0.240,0.084
0.242,0.089
0.244,0.093
0.246,0.098
0.248,0.102
0.250,0.106
0.252,0.110
0.254,0.115
0.256,0.122
0.258,0.130
0.260,0.141
0.262,0.153
0.264,0.163
0.266,0.172
0.268,0.178
0.270,0.181
0.272,0.181
0.274,0.180
0.276,0.180
0.278,0.182
0.280,0.187
0.282,0.194
0.284,0.202
0.286,0.208
0.288,0.211
0.290,0.211
0.292,0.209
0.294,0.205
0.296,0.200
0.298,0.196
0.300,0.191
0.302,0.186
0.304,0.180
0.306,0.174
0.308,0.167
0.310,0.162
0.312,0.158
0.314,0.153
0.316,0.147
0.318,0.138
0.320,0.126
0.322,0.112
0.324,0.096
0.326,0.081
0.328,0.068
0.330,0.056
0.332,0.046
0.334,0.038
0.336,0.029
0.338,0.021
0.340,0.014
0.342,0.007
0.344,0.001
0.346,-0.004
0.348,-0.008
0.350,-0.011
0.352,-0.016
0.354,-0.020
0.356,-0.026
0.358,-0.031
0.360,-0.035
0.362,-0.037
0.364,-0.039
0.366,-0.040
0.368,-0.041
0.370,-0.044
0.372,-0.047
0.374,-0.049
0.376,-0.052
0.378,-0.054
0.380,-0.056
0.382,-0.057
0.384,-0.059
0.386,-0.059
0.388,-0.057
0.390,-0.054
0.392,-0.051
0.394,-0.048
0.396,-0.046
0.398,-0.046
0.400,-0.048
0.402,-0.050
0.404,-0.051
0.406,-0.050
0.408,-0.047
0.410,-0.041
0.412,-0.035
0.414,-0.030
0.416,-0.027
0.418,-0.026
0.420,-0.029
0.422,-0.034
0.424,-0.040
0.426,-0.045
0.428,-0.048
0.430,-0.048
0.432,-0.045
0.434,-0.041
0.436,-0.037
0.438,-0.034
0.440,-0.032
0.442,-0.031
0.444,-0.032
0.446,-0.034
0.448,-0.035
0.450,-0.036
0.452,-0.037
0.454,-0.038
0.456,-0.038
0.458,-0.037
0.460,-0.035
0.462,-0.031
0.464,-0.027
0.466,-0.023
0.468,-0.020
0.470,-0.021
0.472,-0.024
0.474,-0.028
0.476,-0.033
0.478,-0.035
0.480,-0.034
0.482,-0.030
0.484,-0.024
0.486,-0.019
0.488,-0.016
0.490,-0.016
0.492,-0.019
0.494,-0.024
0.496,-0.030
0.498,-0.036
0.500,-0.041
0.502,-0.045
0.504,-0.049
0.506,-0.051
0.508,-0.052
0.510,-0.051
0.512,-0.048
0.514,-0.045
0.516,-0.042
0.518,-0.039
0.520,-0.038
0.522,-0.038
0.524,-0.040
0.526,-0.043
0.528,-0.046
0.530,-0.050
0.532,-0.053
0.534,-0.054
0.536,-0.053
0.538,-0.049
0.540,-0.044
0.542,-0.040
0.544,-0.036
0.546,-0.035
0.548,-0.037
0.550,-0.039
0.552,-0.041
0.554,-0.042
0.556,-0.041
0.558,-0.039
0.560,-0.039
0.562,-0.040
0.564,-0.043
0.566,-0.049
0.568,-0.054
0.570,-0.058
0.572,-0.061
0.574,-0.061
0.576,-0.060
0.578,-0.058
0.580,-0.055
0.582,-0.052
0.584,-0.048
0.586,-0.044
0.588,-0.041
0.590,-0.040
0.592,-0.042
0.594,-0.045
0.596,-0.051
0.598,-0.057
0.600,-0.062
0.602,-0.066
0.604,-0.067
0.606,-0.065
0.608,-0.060
0.610,-0.054
0.612,-0.048
0.614,-0.042
0.616,-0.038
0.618,-0.036
0.620,-0.035
0.622,-0.035
0.624,-0.034
0.626,-0.032
0.628,-0.029
0.630,-0.023
0.632,-0.017
0.634,-0.011
0.636,-0.005
0.638,-0.001
0.640,0.002
0.642,0.003
0.644,0.002
0.646,-0.001
0.648,-0.004
0.650,-0.007
0.652,-0.007
0.654,-0.004
0.656,0.003
0.658,0.013
0.660,0.025
0.662,0.039
0.664,0.050
0.666,0.058
0.668,0.060
0.670,0.056
0.672,0.046
0.674,0.031
0.676,0.013
0.678,-0.005
0.680,-0.021
0.682,-0.034
0.684,-0.043
0.686,-0.051
0.688,-0.055
0.690,-0.058
0.692,-0.059
0.694,-0.058
0.696,-0.055
0.698,-0.051
0.700,-0.047
0.702,-0.046
0.704,-0.047
0.706,-0.050
0.708,-0.055
0.710,-0.061
0.712,-0.065
0.714,-0.066
0.716,-0.065
0.718,-0.062
0.720,-0.057
0.722,-0.052
0.724,-0.049
0.726,-0.049
0.728,-0.053
0.730,-0.059
0.732,-0.066
0.734,-0.073
0.736,-0.076
0.738,-0.075
0.740,-0.071
0.742,-0.062
0.744,-0.050
0.746,-0.033
0.748,-0.013
0.750,0.010
0.752,0.034
0.754,0.056
0.756,0.072
0.758,0.082
0.760,0.088
0.762,0.095
0.764,0.107
0.766,0.130
0.768,0.164
0.770,0.206
0.772,0.248
0.774,0.280
0.776,0.294
0.778,0.286
0.780,0.257
0.782,0.211
0.784,0.154
0.786,0.092
0.788,0.030
0.790,-0.027
0.792,-0.075
0.794,-0.109
0.796,-0.127
0.798,-0.128
0.800,-0.115
0.802,-0.094
0.804,-0.070
0.806,-0.050
0.808,-0.037
0.810,-0.031
0.812,-0.031
0.814,-0.034
0.816,-0.040
0.818,-0.045
0.820,-0.049
0.822,-0.052
0.824,-0.052
0.826,-0.051
0.828,-0.049
0.830,-0.047
0.832,-0.046
0.834,-0.047
0.836,-0.048
0.838,-0.049
0.840,-0.049
0.842,-0.048
0.844,-0.045
0.846,-0.042
0.848,-0.041
0.850,-0.041
0.852,-0.043
0.854,-0.046
0.856,-0.049
0.858,-0.050
0.860,-0.049
0.862,-0.046
0.864,-0.041
0.866,-0.036
0.868,-0.032
0.870,-0.030
0.872,-0.030
0.874,-0.030
0.876,-0.031
0.878,-0.031
0.880,-0.029
0.882,-0.027
0.884,-0.025
0.886,-0.024
0.888,-0.023
0.890,-0.023
0.892,-0.023
0.894,-0.022
0.896,-0.022
0.898,-0.021
0.900,-0.019
0.902,-0.017
0.904,-0.015
0.906,-0.013
0.908,-0.010
0.910,-0.006
0.912,-0.001
0.914,0.004
0.916,0.008
0.918,0.009
0.920,0.009
0.922,0.006
0.924,0.002
0.926,-0.001
0.928,-0.003
0.930,-0.001
0.932,0.003
0.934,0.009
0.936,0.014
0.938,0.019
0.940,0.021
0.942,0.022
0.944,0.023
0.946,0.025
0.948,0.028
0.950,0.032
0.952,0.037
0.954,0.041
0.956,0.045
0.958,0.047
0.960,0.049
0.962,0.050
0.964,0.053
0.966,0.057
0.968,0.062
0.970,0.069
0.972,0.076
0.974,0.083
0.976,0.092
0.978,0.101
0.980,0.111
0.982,0.121
0.984,0.129
0.986,0.135
0.988,0.138
0.990,0.139
0.992,0.138
0.994,0.138
0.996,0.139
0.998,0.142
1.000,0.147
1.002,0.153
1.004,0.159
1.006,0.165
1.008,0.170
1.010,0.174
1.012,0.177
1.014,0.180
1.016,0.184
1.018,0.187
1.020,0.191
1.022,0.193
1.024,0.193
1.026,0.188
1.028,0.180
1.030,0.167
1.032,0.153
1.034,0.139
1.036,0.125
1.038,0.113
1.040,0.102
1.042,0.092
1.044,0.081
1.046,0.070
1.048,0.059
1.050,0.049
1.052,0.039
1.054,0.030
1.056,0.022
1.058,0.015
1.060,0.009
1.062,0.002
1.064,-0.004
1.066,-0.010
1.068,-0.016
1.070,-0.021
1.072,-0.026
1.074,-0.031
1.076,-0.036
