'Elapsed time','EMG'
'seconds','mV'
0.000,0.090
0.000,0.077
0.001,0.077
0.001,0.073
0.001,0.072
0.001,0.067
0.002,0.068
0.002,0.092
0.002,0.095
0.002,0.203
0.003,0.210
0.003,0.772
0.003,0.833
0.003,-0.438
0.004,-0.420
0.004,0.040
0.004,0.060
0.004,0.250
0.004,0.210
0.005,-0.602
0.005,-0.637
0.005,-1.192
0.005,-1.190
0.006,-0.750
0.006,-0.722
0.006,-0.150
0.006,-0.132
0.007,0.118
0.007,0.123
0.007,0.160
0.007,0.153
0.008,0.027
0.008,0.020
0.008,-0.013
0.009,0.008
0.009,0.032
0.009,0.033
0.009,0.080
0.009,0.082
0.010,0.123
0.010,0.123
0.010,0.130
0.011,0.127
0.011,0.120
0.011,0.122
0.011,0.103
0.011,0.103
0.012,0.085
0.012,0.083
0.012,0.075
0.013,0.075
0.013,0.082
0.013,0.083
0.013,0.103
0.013,0.103
0.014,0.113
0.014,0.108
0.014,0.087
0.015,0.083
0.015,0.015
0.015,0.013
0.015,-0.037
0.015,-0.038
0.016,-0.085
0.016,-0.083
0.016,-0.095
0.017,-0.087
0.017,-0.063
0.017,-0.063
0.017,-0.058
0.018,-0.065
0.018,-0.085
0.018,-0.083
0.018,-0.103
0.018,-0.105
0.019,-0.110
0.019,-0.107
0.019,-0.085
0.019,-0.083
0.020,-0.052
0.020,-0.048
0.020,-0.035
0.021,-0.035
0.021,-0.025
0.021,-0.020
0.021,-0.028
0.021,-0.027
0.022,-0.040
0.022,-0.038
0.022,-0.030
0.022,-0.028
0.023,-0.015
0.023,-0.017
0.023,-0.012
0.024,-0.015
0.024,-0.010
0.024,-0.013
0.024,-0.005
0.025,-0.007
0.025,0.005
0.025,0.008
0.025,-0.002
0.025,-0.002
0.026,-0.017
0.026,-0.022
0.026,-0.015
0.026,-0.015
0.027,-0.008
0.027,-0.008
0.027,0.002
0.028,0.000
0.028,0.020
0.028,0.022
0.028,0.043
0.029,0.045
0.029,0.087
0.029,0.090
0.029,0.135
0.029,0.137
0.030,0.175
0.030,0.173
0.030,0.187
0.030,0.180
0.031,-0.150
0.031,-0.188
0.031,-0.702
0.032,-0.682
0.032,-0.362
0.032,-0.352
0.032,-0.143
0.033,-0.138
0.033,-0.030
0.033,-0.027
0.033,0.037
0.034,0.038
0.034,0.078
0.034,0.080
0.034,0.102
0.035,0.102
0.035,0.113
0.035,0.112
0.035,0.097
0.035,0.095
0.036,0.077
0.036,0.075
0.036,0.062
0.036,0.060
0.037,0.040
0.037,0.042
0.037,0.032
0.037,0.035
0.038,0.030
0.038,0.032
0.038,0.025
0.038,0.025
0.039,0.013
0.039,0.015
0.039,0.008
0.040,0.013
0.040,0.023
0.040,0.025
0.040,0.037
0.041,0.035
0.041,0.043
0.041,0.042
0.041,0.047
0.042,0.048
0.042,0.052
0.042,0.052
0.042,0.042
0.043,0.040
0.043,-0.015
0.043,-0.023
0.043,-0.177
0.043,-0.182
0.044,-0.240
0.044,-0.243
0.044,-0.210
0.044,-0.208
0.045,-0.112
0.045,-0.107
0.045,0.032
0.045,0.037
0.046,0.153
0.046,0.160
0.046,0.287
0.046,0.290
0.047,0.388
0.047,0.393
0.047,0.468
0.048,0.463
0.048,0.052
0.048,0.012
0.048,-1.265
0.049,-1.447
0.049,-0.923
0.049,-0.902
0.049,-0.207
0.050,-0.183
0.050,0.173
0.050,0.180
0.050,0.265
0.051,0.268
0.051,0.248
0.051,0.247
0.051,0.185
0.051,0.182
0.052,0.085
0.052,0.082
0.052,-0.005
0.052,-0.010
0.053,-0.057
0.053,-0.062
0.053,-0.045
0.053,-0.043
0.054,0.012
0.054,0.013
0.054,0.053
0.054,0.055
0.055,0.088
0.055,0.088
0.055,0.105
0.056,0.107
0.056,0.087
0.056,0.087
0.056,0.040
0.057,0.038
0.057,0.000
0.057,-0.003
0.057,-0.033
0.058,-0.037
0.058,-0.053
0.058,-0.052
0.058,-0.065
0.059,-0.067
0.059,-0.073
0.059,-0.070
0.059,-0.042
0.059,-0.042
0.060,-0.003
0.060,0.000
0.060,0.053
0.060,0.055
0.061,0.123
0.061,0.125
0.061,0.200
0.061,0.202
0.062,0.268
0.062,0.270
0.062,0.323
0.062,0.325
0.063,0.368
0.063,0.370
0.063,0.420
0.064,0.425
0.064,0.262
0.064,0.243
0.064,-0.565
0.065,-0.603
0.065,-1.092
0.065,-1.092
0.065,-0.825
0.066,-0.803
0.066,-0.245
0.066,-0.225
0.066,0.138
0.067,0.148
0.067,0.272
0.067,0.273
0.067,0.293
0.068,0.292
0.068,0.263
0.068,0.262
0.068,0.220
0.069,0.217
0.069,0.165
0.069,0.163
0.069,0.125
0.070,0.123
0.070,0.075
0.070,0.072
0.070,0.038
0.070,0.030
0.071,0.043
0.071,0.042
0.071,0.083
0.071,0.087
0.072,0.172
0.072,0.178
0.072,0.280
0.072,0.285
0.073,0.400
0.073,0.405
0.073,0.532
0.073,0.538
0.074,0.748
0.074,0.760
0.074,1.010
0.074,1.020
0.075,1.277
0.075,1.272
0.075,0.317
0.075,0.250
0.076,-0.953
0.076,-0.408
0.076,-2.803
0.076,-1.588
0.077,-2.832
0.077,-2.872
0.077,-1.335
0.077,-1.263
0.078,0.108
0.078,0.140
0.078,0.550
0.079,0.558
0.079,0.612
0.079,0.590
0.079,0.450
0.080,0.443
0.080,0.292
0.080,0.283
0.080,0.153
0.081,0.148
0.081,0.103
0.081,0.103
0.081,0.113
0.082,0.117
0.082,0.102
0.082,0.100
0.082,0.067
0.083,0.065
0.083,0.015
0.083,0.013
0.083,-0.048
0.084,-0.052
0.084,-0.087
0.084,-0.087
0.084,-0.072
0.085,-0.073
0.085,-0.037
0.085,-0.035
0.085,0.023
0.086,0.027
0.086,0.107
0.086,0.110
0.086,0.193
0.086,0.197
0.087,0.222
0.087,0.222
0.087,0.180
0.087,0.178
0.088,0.077
0.088,0.072
0.088,-0.008
0.088,-0.015
0.089,0.000
0.089,0.003
0.089,0.090
0.089,0.095
0.090,0.263
0.090,0.275
0.090,0.768
0.090,1.772
0.091,0.282
0.091,-0.113
0.091,2.312
0.091,2.369
0.092,-1.142
0.092,-1.045
0.092,0.305
0.092,0.328
0.093,0.522
0.093,0.525
0.093,0.508
0.093,0.507
0.094,0.488
0.094,0.485
0.094,0.493
0.095,0.495
0.095,0.542
0.095,0.545
0.095,0.653
0.096,0.718
0.096,0.657
0.096,0.643
0.096,-0.183
0.097,-0.235
0.097,-1.030
0.097,-1.092
0.097,-0.868
0.098,-0.845
0.098,-0.252
0.098,-0.228
0.098,0.142
0.099,0.150
0.099,0.247
0.099,0.245
0.099,0.143
0.100,0.137
0.100,0.052
0.100,0.062
0.100,0.053
0.101,0.052
0.101,0.060
0.101,0.060
0.101,0.075
0.102,0.078
0.102,0.070
0.102,0.070
0.102,0.055
0.102,0.055
0.103,0.040
0.103,0.033
0.103,0.047
0.103,0.047
0.104,0.087
0.104,0.087
0.104,0.122
0.104,0.123
0.105,0.173
0.105,0.173
0.105,0.185
0.105,0.178
0.106,0.108
0.106,0.105
0.106,-0.012
0.106,-0.017
0.107,-0.113
0.107,-0.123
0.107,-0.100
0.107,-0.098
0.108,-0.057
0.108,-0.058
0.108,-0.175
0.108,-0.182
0.109,-0.253
0.109,-0.245
0.109,-0.073
0.110,-0.050
0.110,-0.123
0.110,-0.132
0.110,-0.303
0.111,-0.357
0.111,-0.308
0.111,-0.302
0.111,-0.010
0.112,0.003
0.112,0.220
0.112,0.225
0.112,0.315
0.113,0.317
0.113,0.333
0.113,0.332
0.113,0.298
0.114,0.295
0.114,0.215
0.114,0.212
0.114,0.132
0.115,0.128
0.115,0.058
0.115,0.055
0.115,0.022
0.116,0.023
0.116,0.050
0.116,0.052
0.116,0.075
0.117,0.077
0.117,0.088
0.117,0.087
0.117,0.093
0.117,0.088
0.118,0.093
0.118,0.090
0.118,0.053
0.118,0.052
0.119,0.035
0.119,0.040
0.119,-0.073
0.119,-0.095
0.120,-0.767
0.120,-0.815
0.120,-0.583
0.120,-0.565
0.121,-0.257
0.121,-0.248
0.121,-0.062
0.121,-0.058
0.122,0.042
0.122,0.045
0.122,0.092
0.122,0.093
0.123,0.112
0.123,0.113
0.123,0.143
0.123,0.147
0.124,0.268
0.124,0.702
0.124,0.020
0.124,-0.192
0.125,-0.618
0.125,-0.605
0.125,-0.232
0.126,-0.218
0.126,0.017
0.126,0.022
0.126,0.065
0.127,0.060
0.127,0.077
0.127,0.077
0.127,0.095
0.128,0.093
0.128,0.100
0.128,0.098
0.128,0.052
0.129,0.045
0.129,-0.140
0.129,-0.143
0.129,-0.217
0.130,-0.223
0.130,-0.203
0.130,-0.202
0.130,-0.102
0.131,-0.097
0.131,0.045
0.131,0.050
0.131,0.162
0.132,0.167
0.132,0.287
0.132,0.290
0.132,0.382
0.133,0.385
0.133,0.448
0.133,0.452
0.133,0.190
0.134,0.147
0.134,-1.205
0.134,-1.483
0.134,-0.990
0.135,-0.970
0.135,-0.298
0.135,-0.270
0.135,0.138
0.136,0.148
0.136,0.280
0.136,0.283
0.136,0.303
0.137,0.297
0.137,0.263
0.137,0.260
0.137,0.200
0.138,0.197
0.138,0.138
0.138,0.137
0.138,0.092
0.139,0.092
0.139,0.067
0.139,0.065
0.139,0.048
0.140,0.048
0.140,0.037
0.140,0.040
0.140,0.028
0.141,0.028
0.141,0.018
0.141,0.018
0.141,0.005
0.141,0.005
0.142,-0.002
0.142,0.002
0.142,-0.005
0.142,-0.003
0.143,-0.013
0.143,-0.012
0.143,-0.007
0.143,-0.008
0.144,0.008
0.144,0.010
0.144,0.020
0.144,0.018
0.145,0.025
0.145,0.023
0.145,0.028
0.145,0.025
0.146,0.010
0.146,0.010
0.146,-0.028
0.146,-0.030
0.147,-0.072
0.147,-0.072
0.147,-0.085
0.147,-0.080
0.148,-0.055
0.148,-0.053
0.148,-0.018
0.148,-0.017
0.149,0.005
0.149,0.005
0.149,0.013
0.149,0.017
0.150,0.012
0.150,0.012
0.150,0.005
0.150,0.010
0.151,0.003
0.151,0.005
0.151,-0.005
0.151,-0.003
0.152,-0.015
0.152,-0.017
0.152,-0.023
0.152,-0.023
0.153,-0.030
0.153,-0.028
0.153,-0.022
0.153,-0.023
0.154,-0.018
0.154,-0.023
0.154,-0.017
0.154,-0.018
0.155,-0.012
0.155,-0.012
0.155,-0.005
0.155,-0.007
0.156,-0.013
0.156,-0.015
0.156,-0.027
0.157,-0.027
0.157,-0.023
0.157,-0.022
0.157,-0.028
0.158,-0.030
0.158,-0.027
0.158,-0.030
0.158,-0.037
0.159,-0.037
0.159,-0.045
0.159,-0.047
0.159,-0.042
0.160,-0.043
0.160,-0.025
0.160,-0.027
0.160,-0.018
0.161,-0.020
0.161,-0.008
0.161,-0.007
0.161,0.003
0.162,0.003
0.162,0.012
0.162,0.008
0.162,0.015
0.163,0.013
0.163,0.032
0.163,0.032
0.163,0.047
0.164,0.047
0.164,0.068
0.164,0.067
0.164,0.093
0.165,0.095
0.165,0.127
0.165,0.125
0.165,0.135
0.166,0.137
0.166,0.130
0.166,0.128
0.166,0.118
0.167,0.120
0.167,0.098
0.167,0.098
0.167,0.065
0.168,0.065
0.168,0.020
0.168,0.018
0.168,-0.018
0.169,-0.020
0.169,-0.062
0.169,-0.063
0.169,-0.113
0.170,-0.112
0.170,-0.153
0.170,-0.155
0.170,-0.168
0.171,-0.163
0.171,-0.132
0.171,-0.130
0.171,-0.097
0.172,-0.093
0.172,-0.048
0.172,-0.047
0.172,-0.010
0.172,-0.008
0.173,0.015
0.173,0.018
0.173,0.008
